doctor_id,schedule_id
248,32
752,36
606,129
413,130
44,122
585,23
995,62
993,42
858,106
746,80
80,90
128,38
517,60
494,36
321,136
203,55
356,21
277,134
686,51
870,95
233,31
426,7
283,1
52,35
638,14
571,130
33,73
784,68
273,111
153,26
232,68
201,78
135,150
889,120
397,160
586,79
632,60
333,98
509,166
255,41
877,5
436,72
506,136
240,165
703,40
306,22
648,159
227,17
90,87
321,147
608,110
627,64
700,108
307,124
86,166
767,66
456,94
765,30
47,138
932,9
923,56
543,71
852,113
196,26
828,109
697,30
114,135
471,91
125,5
815,31
739,67
712,86
570,66
404,118
47,120
936,112
927,86
810,155
824,77
824,119
487,46
676,70
200,150
257,24
368,67
86,44
980,66
152,74
647,123
463,168
887,137
619,22
87,116
660,44
580,6
777,119
2,115
941,126
443,79
464,4
108,102
219,9
769,41
802,76
685,139
489,119
418,19
589,135
714,17
674,65
552,97
978,5
974,68
869,62
818,132
134,121
166,116
867,78
515,37
113,81
865,129
99,64
279,168
457,101
165,21
575,127
726,143
449,129
969,57
771,13
164,98
860,22
166,133
140,127
380,139
501,147
398,62
508,113
517,80
770,125
695,54
463,97
370,91
679,80
232,144
253,120
229,35
226,149
580,155
943,40
540,24
470,73
619,103
193,133
476,95
327,136
264,69
263,88
536,140
500,117
514,92
601,80
861,122
292,152
314,153
741,151
558,39
98,81
286,46
880,112
177,128
592,28
891,157
489,138
987,78
782,134
131,37
440,121
157,125
781,151
78,24
181,150
842,153
989,35
367,10
978,23
607,5
99,164
845,43
454,92
219,64
13,89
152,25
708,146
1000,35
848,67
773,30
416,108
104,125
860,76
918,4
982,159
109,28
58,69
948,17
456,69
97,74
321,56
782,55
766,163
474,124
536,106
139,82
307,138
722,114
816,166
807,93
122,48
539,59
150,126
22,114
191,60
455,143
368,32
444,34
590,120
136,28
582,102
73,22
987,88
265,40
443,123
204,127
195,108
110,113
739,90
969,114
299,86
42,19
973,121
838,11
580,159
419,158
394,88
120,110
819,137
270,163
254,146
776,131
210,131
764,134
338,137
282,83
338,125
231,143
796,87
283,138
465,23
637,97
101,51
115,67
129,97
382,56
949,41
425,108
711,153
938,20
580,87
130,73
467,92
253,76
783,76
295,91
306,65
88,128
223,16
757,7
139,99
339,45
816,104
998,141
516,56
422,14
918,85
637,147
303,18
709,127
651,156
698,5
462,8
926,119
474,105
49,118
614,72
366,18
12,25
272,6
10,126
41,77
364,43
333,26
35,37
135,149
166,168
641,121
342,153
976,28
178,168
412,100
624,64
742,69
461,42
883,37
204,126
753,107
169,70
994,18
667,44
873,125
366,111
583,32
62,99
605,53
654,52
641,143
543,154
850,19
503,107
931,71
659,32
884,97
332,64
244,163
637,159
440,85
892,159
42,107
709,93
526,164
1000,44
71,99
11,108
923,87
47,1
443,74
651,60
240,16
224,68
518,3
952,54
424,153
588,6
301,140
201,29
723,158
295,10
885,72
634,24
372,128
889,135
922,23
7,64
737,38
803,78
298,160
803,131
632,108
568,145
371,144
391,27
429,5
857,36
625,98
929,128
703,114
748,129
211,91
295,167
345,55
8,53
613,132
905,57
422,145
142,79
781,14
315,58
701,96
359,124
112,59
305,119
770,33
222,76
282,157
366,50
80,2
853,128
374,140
458,42
417,145
289,43
697,14
478,21
496,83
190,136
112,2
221,112
193,2
736,52
762,130
845,35
571,124
741,60
845,7
845,108
735,35
330,159
812,18
111,28
996,122
897,147
891,99
561,49
450,152
321,10
231,48
879,81
636,5
401,26
130,60
926,165
747,153
142,163
359,126
129,102
812,131
93,126
398,89
814,37
291,82
562,82
414,40
983,124
846,108
116,71
398,142
929,48
652,64
524,38
86,102
319,40
563,88
836,114
905,18
837,56
537,115
591,80
122,116
120,156
585,3
804,76
846,135
620,7
815,151
877,62
233,165
102,64
601,161
595,54
786,130
180,34
491,167
201,98
958,76
40,72
551,120
1,73
937,109
948,7
713,160
689,112
734,34
107,69
963,110
556,49
641,51
597,49
589,141
353,43
369,89
511,82
393,82
497,95
138,57
216,152
570,106
332,19
831,45
714,40
306,46
30,153
809,82
126,28
910,105
587,101
201,26
522,40
853,10
927,104
521,111
482,24
435,62
346,5
397,42
915,120
484,41
379,102
208,22
384,75
76,149
253,40
514,59
540,157
656,40
529,62
442,104
832,19
957,70
867,94
496,59
335,108
784,122
645,92
419,109
548,59
689,124
178,80
296,130
641,69
839,148
253,65
547,42
533,40
132,120
615,8
775,127
970,39
781,81
328,89
958,131
418,33
633,1
62,4
607,139
668,131
327,89
56,10
555,4
375,60
535,117
392,167
493,166
370,35
215,167
404,88
567,51
681,163
397,59
153,51
616,75
612,16
169,147
277,47
822,167
878,165
928,145
538,166
868,34
817,157
808,75
951,24
438,27
157,17
60,100
566,121
273,161
82,143
364,121
313,164
11,52
94,60
814,59
862,81
265,117
775,60
39,142
828,58
298,141
25,10
496,9
899,53
631,24
479,121
625,114
514,145
298,12
791,49
699,131
225,21
934,73
71,142
518,117
457,147
709,88
935,151
51,103
234,165
547,162
88,142
914,136
783,70
675,36
990,4
231,98
925,110
637,11
453,136
266,135
439,112
778,20
202,149
221,53
500,154
292,31
836,12
881,2
869,38
139,84
21,101
511,146
950,52
692,90
386,166
814,136
937,135
85,17
895,4
915,118
729,52
362,150
856,133
803,52
442,112
485,123
54,162
852,44
509,120
4,28
363,163
546,107
989,39
20,96
907,113
643,126
627,166
960,19
338,158
193,164
680,79
214,78
682,157
326,56
114,38
288,14
382,58
47,127
922,10
42,26
665,87
829,110
654,107
527,56
220,113
396,68
721,165
154,127
367,164
771,60
849,163
127,129
183,111
438,160
522,57
599,161
1,80
625,9
669,24
181,4
956,160
49,143
548,45
816,75
165,31
343,62
555,135
496,76
318,161
245,100
751,149
787,101
928,115
361,136
556,136
168,72
685,135
953,44
108,42
813,158
552,26
721,126
235,137
987,11
472,99
76,168
264,111
719,46
145,131
938,131
407,13
283,96
968,72
943,37
419,106
501,12
812,119
80,98
396,7
691,27
786,51
825,52
826,62
670,77
708,69
32,129
202,117
582,53
829,65
449,83
339,132
334,123
370,77
3,5
835,110
409,68
610,145
865,111
739,60
926,23
688,94
583,112
44,49
310,117
123,47
776,79
305,68
468,38
179,121
497,149
284,33
491,131
713,167
245,4
366,160
291,107
799,109
859,25
747,55
803,92
742,95
66,90
579,93
188,118
104,32
259,113
912,43
342,68
65,79
113,31
418,164
628,5
361,135
519,83
495,130
268,131
62,126
930,154
335,134
431,71
594,151
333,5
514,22
237,120
367,114
490,35
539,47
982,7
274,106
390,158
654,62
868,167
596,87
177,101
668,11
614,54
237,90
797,78
521,148
959,105
900,86
264,4
819,66
39,147
879,10
244,16
663,68
71,7
996,86
876,84
749,21
317,63
637,30
771,70
557,86
694,90
213,66
458,70
281,130
80,80
540,139
733,124
94,121
30,137
728,120
7,62
784,125
296,92
180,50
125,106
327,82
237,16
505,81
521,7
252,101
886,88
508,81
819,12
921,52
18,25
351,83
452,49
321,158
258,86
686,59
303,129
550,55
359,75
247,124
262,46
907,111
504,71
629,131
757,48
857,85
259,122
625,101
6,120
274,29
433,156
597,21
925,77
497,44
962,17
127,27
468,128
184,18
198,34
418,109
902,101
449,20
795,14
384,43
179,47
475,17
87,128
477,40
525,34
76,41
557,102
618,134
495,64
700,5
610,23
119,96
574,142
182,55
798,132
538,13
563,45
388,35
810,10
743,7
956,136
687,23
678,122
407,55
258,168
833,58
79,9
939,120
434,165
248,92
664,92
172,155
314,99
700,156
508,50
246,81
119,97
791,18
356,70
952,82
30,161
592,141
987,164
820,84
560,69
611,24
355,120
638,96
134,166
859,132
325,18
832,124
811,104
548,156
646,24
681,99
223,43
491,146
386,147
505,62
594,77
912,135
822,30
601,150
463,14
34,130
566,14
664,82
911,10
148,146
729,115
765,78
154,128
411,40
265,162
216,167
103,7
54,94
856,17
796,82
225,33
178,48
339,37
623,34
265,94
55,100
13,91
406,57
194,114
686,125
921,20
336,90
409,86
304,142
273,63
37,5
258,94
991,25
143,102
406,67
104,24
20,142
260,90
696,14
851,45
812,49
745,29
519,66
836,46
578,60
108,105
3,72
489,63
752,102
341,96
916,35
16,151
107,105
127,127
398,116
338,132
566,120
777,39
81,110
241,94
482,25
183,163
741,117
687,45
841,113
558,137
17,111
670,10
290,48
240,103
164,45
938,118
865,43
326,143
597,7
127,31
671,42
13,101
614,43
193,100
241,52
11,139
561,45
763,46
170,111
109,114
610,147
744,78
493,64
501,135
20,24
605,108
957,101
931,53
861,82
650,64
821,167
325,67
188,97
244,9
387,142
506,157
127,14
15,75
150,44
913,77
605,125
877,165
581,133
676,52
501,106
895,55
743,164
168,80
459,114
82,19
548,110
431,55
499,36
917,30
547,108
149,6
64,92
248,71
192,118
2,55
206,130
496,126
808,59
905,147
124,136
738,21
516,48
956,33
588,70
74,99
149,92
468,151
603,126
503,158
796,100
982,137
706,99
674,7
19,112
842,69
66,110
995,165
196,115
854,102
670,5
554,66
442,161
595,151
144,155
198,146
509,19
726,134
590,166
83,10
15,90
27,123
84,45
484,156
368,75
15,28
781,104
487,150
666,125
810,43
32,165
935,92
638,126
10,2
79,116
725,21
447,51
694,148
812,41
506,46
989,70
461,159
921,92
575,59
184,34
451,134
902,119
964,10
72,40
358,67
590,137
197,82
860,1
111,150
213,38
286,54
691,63
575,92
467,89
177,145
616,74
234,162
521,165
71,27
921,140
958,51
736,78
94,164
429,20
518,26
168,6
920,107
464,128
820,17
210,167
164,44
611,77
835,58
577,142
594,10
156,147
559,119
606,87
230,28
828,29
702,60
986,7
419,34
813,117
141,19
549,93
882,22
419,73
101,145
379,59
65,50
329,38
8,163
514,153
393,71
630,69
861,43
651,106
428,30
958,11
655,124
700,79
561,146
110,78
225,163
997,79
168,100
65,4
105,63
940,102
813,142
311,153
691,166
157,129
567,31
664,85
158,102
280,97
102,83
692,61
479,4
960,81
619,108
521,89
497,34
830,75
233,17
105,147
17,168
311,131
182,28
36,165
229,8
987,157
254,43
399,94
372,111
306,81
75,87
422,37
841,17
269,74
221,79
548,163
649,137
60,70
181,11
640,145
269,48
913,56
398,39
470,142
887,96
594,23
987,167
738,104
73,45
523,47
191,14
209,70
836,27
456,61
455,69
459,131
406,107
81,97
302,156
362,72
170,56
420,114
200,163
330,41
937,48
836,10
837,108
80,154
455,125
647,34
826,148
22,56
281,106
285,135
956,128
323,33
967,108
470,165
59,55
819,130
712,2
586,98
234,119
165,60
688,83
870,26
923,104
421,124
478,80
169,94
473,121
487,53
67,165
678,121
633,84
823,71
16,146
602,77
151,96
991,136
291,117
111,140
355,92
108,132
402,157
87,29
708,16
223,150
731,108
398,9
610,1
237,29
999,101
295,8
814,40
963,83
955,55
333,69
427,124
276,99
114,89
739,52
596,109
934,11
771,165
193,21
643,92
309,144
445,35
658,24
380,164
444,98
710,85
502,29
39,151
154,156
150,40
774,158
752,12
693,141
917,142
67,26
909,71
853,99
365,138
848,103
726,131
170,32
66,137
971,18
269,33
428,43
513,106
88,127
132,155
586,115
747,21
85,30
81,86
271,1
379,164
263,130
85,117
980,118
25,147
42,66
63,144
224,84
193,142
736,150
68,104
229,112
229,168
121,148
394,10
697,78
55,134
404,85
483,106
630,147
718,130
314,117
415,30
356,5
885,110
560,123
784,12
557,138
891,83
918,142
256,140
87,108
938,29
656,6
117,10
805,14
672,119
68,106
781,146
712,112
494,66
635,138
330,136
432,101
816,82
339,67
223,30
969,95
205,159
708,85
943,114
9,126
783,72
725,150
823,46
774,42
532,141
708,78
473,132
122,15
579,119
66,156
880,11
70,38
504,124
908,165
785,91
951,135
197,138
369,134
344,77
519,72
851,25
74,37
538,161
73,140
399,157
724,5
515,79
706,89
610,78
923,46
56,23
906,76
704,136
800,74
120,9
133,121
664,128
804,89
876,60
32,42
724,154
433,48
58,2
368,109
506,163
902,84
297,3
921,100
757,101
469,67
900,134
768,51
671,32
717,166
527,152
396,145
519,39
602,144
595,21
156,156
144,112
268,89
562,148
697,57
293,96
668,92
867,44
550,19
123,113
694,92
980,86
877,13
810,165
378,103
120,41
903,126
754,52
578,90
870,49
985,70
656,144
884,78
989,18
730,20
773,145
237,157
540,29
967,6
151,111
813,49
137,158
406,4
261,19
475,103
3,62
679,41
209,166
916,8
5,52
607,20
939,138
278,36
489,67
93,76
156,27
138,12
400,46
497,143
875,38
377,101
910,128
326,34
428,75
260,144
195,111
709,111
856,145
496,130
645,8
72,129
967,76
666,118
727,26
271,97
45,111
818,93
225,161
842,137
440,89
82,57
869,167
222,101
997,135
593,86
399,123
412,118
677,92
53,161
193,77
70,80
396,30
454,125
417,137
197,97
785,54
821,105
240,84
670,165
659,34
892,101
144,57
730,159
875,78
612,73
799,128
379,98
866,84
328,9
537,109
532,31
383,61
908,27
435,138
639,102
706,81
33,145
938,140
604,14
251,17
968,49
415,99
465,74
517,15
111,36
285,77
164,93
329,36
897,145
600,158
10,57
839,69
858,120
508,14
308,141
747,99
761,121
769,10
213,137
477,162
693,40
608,36
542,28
36,65
701,154
947,127
90,63
657,30
534,53
691,155
351,77
226,5
805,132
403,151
989,138
997,89
209,55
253,26
755,138
816,102
236,67
620,89
384,83
760,93
891,153
327,28
506,52
358,5
813,75
591,70
423,112
530,32
898,122
839,75
821,69
50,26
310,87
751,18
678,159
739,161
555,167
125,98
825,98
116,142
116,94
451,55
65,37
355,163
938,79
190,74
566,8
816,125
820,89
463,164
491,92
961,148
445,77
20,165
728,129
648,118
885,117
379,75
664,167
799,105
612,94
747,85
443,68
921,37
812,108
74,39
940,142
343,56
783,78
582,6
341,144
863,71
130,70
795,48
277,66
20,146
665,41
475,168
655,147
268,34
473,38
412,64
346,161
408,56
203,36
568,81
276,29
610,68
51,163
913,74
246,115
596,145
711,32
120,74
106,26
750,43
405,25
349,162
919,18
997,2
703,19
22,153
662,56
252,131
242,159
579,164
592,122
333,167
767,135
302,39
102,45
876,25
146,146
513,122
757,47
833,10
325,122
913,90
713,158
842,105
352,52
325,43
934,102
275,156
405,85
153,39
119,74
281,141
265,101
277,50
539,35
388,99
289,8
328,102
750,32
527,107
132,121
430,158
348,168
382,43
40,24
360,66
392,141
363,120
175,107
373,129
615,59
990,93
900,124
79,92
787,67
799,142
249,46
965,39
480,11
553,3
569,84
171,112
975,165
477,36
55,128
557,120
771,105
338,134
954,80
937,34
832,152
649,91
628,92
850,37
855,83
856,161
207,150
830,20
746,25
298,143
735,124
571,24
238,158
73,28
49,41
466,21
636,2
26,28
81,67
729,111
671,49
202,151
792,101
620,85
754,81
843,109
818,54
129,135
185,101
553,13
289,63
700,146
908,65
280,148
436,140
537,150
518,50
494,1
459,126
170,11
957,98
512,163
643,46
34,55
375,57
284,81
499,160
680,86
281,55
488,109
274,62
467,126
776,158
833,113
692,106
57,137
109,49
349,130
723,74
995,52
445,54
931,81
367,11
913,33
767,44
650,132
366,16
160,149
489,73
964,78
63,157
436,120
156,141
346,109
871,159
677,119
167,137
325,3
944,104
926,126
376,97
154,16
94,15
286,83
497,29
597,42
739,148
155,47
981,98
851,124
856,141
275,162
9,154
977,116
759,107
552,56
740,103
150,92
499,1
259,165
950,153
335,52
762,75
806,28
989,13
934,3
327,160
712,136
855,134
453,140
903,93
388,38
106,109
336,64
226,83
903,65
203,38
61,162
717,21
763,88
101,30
945,4
173,122
682,27
631,168
396,48
459,13
101,29
210,96
641,62
129,22
803,140
626,94
337,40
585,89
208,136
763,77
794,163
501,133
220,28
871,19
851,64
361,106
473,100
196,94
281,101
620,75
897,65
820,168
956,42
99,41
530,133
886,40
270,157
457,83
887,62
68,45
572,30
740,130
544,95
752,98
341,167
239,3
182,44
291,21
343,48
595,27
490,87
711,152
748,152
149,98
750,44
484,40
42,98
374,153
729,105
429,142
920,162
966,23
135,87
37,152
163,79
978,27
943,72
356,79
361,123
704,103
162,127
434,78
107,10
22,142
48,25
185,155
742,85
500,75
224,62
122,154
64,142
203,160
883,137
691,154
173,56
547,4
596,125
354,44
395,157
273,32
234,17
658,158
918,115
633,30
352,93
386,60
428,131
179,107
632,83
423,160
785,70
832,159
419,123
836,136
968,110
875,119
371,96
314,47
20,22
877,99
677,45
177,135
195,155
683,31
577,96
242,87
680,119
590,92
267,121
101,8
452,26
621,38
867,111
440,165
799,96
945,20
32,160
80,16
65,58
653,49
560,86
404,117
801,1
147,159
540,9
284,20
591,157
620,121
122,103
798,35
503,140
464,132
876,53
144,105
1000,63
371,52
754,5
713,43
33,8
155,138
262,10
502,156
449,145
653,60
705,57
657,105
125,88
339,64
317,100
232,88
558,19
738,95
226,78
662,6
898,65
267,41
933,27
507,114
483,107
723,152
179,119
573,46
297,98
817,134
194,160
154,132
555,67
79,6
293,155
122,97
222,119
152,43
447,20
391,21
912,61
653,146
89,10
634,50
513,44
223,44
514,144
16,4
363,140
387,28
429,114
38,99
923,69
650,19
151,114
799,154
209,79
690,40
440,46
664,162
611,86
643,86
443,6
472,54
560,20
11,50
116,58
576,94
80,76
108,109
712,57
